datetime,symbol,open,high,low,close,volume
2022-02-08 01:00:00,COINBASE:AAVEUSD,182.24,192.9,173.81,184.15,61242.95409
2022-02-09 01:00:00,COINBASE:AAVEUSD,184.15,190.81,176.39,188.2,41509.47137
2022-02-10 01:00:00,COINBASE:AAVEUSD,188.06,188.97,174.77,175.4,45864.24009
2022-02-11 01:00:00,COINBASE:AAVEUSD,175.41,181.28,160.41,163.71,48057.84536
2022-02-12 01:00:00,COINBASE:AAVEUSD,163.62,168.69,159.67,162.52,25869.9142
2022-02-13 01:00:00,COINBASE:AAVEUSD,162.46,165.4,155.79,158.29,19681.5776
2022-02-14 01:00:00,COINBASE:AAVEUSD,158.3,161.45,152.92,161.11,33831.78341
2022-02-15 01:00:00,COINBASE:AAVEUSD,161.12,172.98,160.57,172.28,39666.08557
2022-02-16 01:00:00,COINBASE:AAVEUSD,172.41,174.55,163.03,170.64,47569.68037
2022-02-17 01:00:00,COINBASE:AAVEUSD,170.66,174.03,150.52,152.99,44174.08348
2022-02-18 01:00:00,COINBASE:AAVEUSD,153.01,155.52,144.03,145.57,40362.19316
2022-02-19 01:00:00,COINBASE:AAVEUSD,145.59,148.95,141.0,146.18,18737.0183
2022-02-20 01:00:00,COINBASE:AAVEUSD,146.15,146.43,135.23,137.55,25475.05012
2022-02-21 01:00:00,COINBASE:AAVEUSD,137.52,144.76,127.88,128.69,50594.75123
2022-02-22 01:00:00,COINBASE:AAVEUSD,128.67,137.18,125.75,134.74,47818.95842
2022-02-23 01:00:00,COINBASE:AAVEUSD,134.81,143.17,130.17,130.67,40846.90588
2022-02-24 01:00:00,COINBASE:AAVEUSD,130.71,131.92,112.41,125.3,109025.8917
2022-02-25 01:00:00,COINBASE:AAVEUSD,125.32,143.47,121.81,139.7,74988.37049
2022-02-26 01:00:00,COINBASE:AAVEUSD,139.71,144.79,134.96,136.67,44452.10529
2022-02-27 01:00:00,COINBASE:AAVEUSD,136.66,144.63,129.51,131.74,78400.0114
2022-02-28 01:00:00,COINBASE:AAVEUSD,131.69,147.05,128.04,145.83,74118.95104
2022-03-01 01:00:00,COINBASE:AAVEUSD,145.8,150.96,139.67,143.34,83693.50658
2022-03-02 01:00:00,COINBASE:AAVEUSD,143.45,146.44,136.32,137.7,62337.4041
2022-03-03 01:00:00,COINBASE:AAVEUSD,137.7,137.8,126.39,129.89,57556.82296
2022-03-04 01:00:00,COINBASE:AAVEUSD,129.84,131.91,122.05,124.26,80863.08684
2022-03-05 01:00:00,COINBASE:AAVEUSD,124.22,126.75,122.0,124.61,54193.29348
2022-03-06 01:00:00,COINBASE:AAVEUSD,124.56,125.79,116.34,116.73,60952.16014
2022-03-07 01:00:00,COINBASE:AAVEUSD,116.78,124.13,113.35,116.88,77836.00369
2022-03-08 01:00:00,COINBASE:AAVEUSD,116.84,125.51,115.77,121.68,115059.71275
