datetime,symbol,open,high,low,close,volume
2021-02-08 01:00:00,COINBASE:AAVEUSD,473.475,532.426,432.0,489.702,158265.9184
2021-02-09 01:00:00,COINBASE:AAVEUSD,489.755,511.0,472.153,489.397,82154.9814
2021-02-10 01:00:00,COINBASE:AAVEUSD,489.397,580.0,489.104,523.231,175647.0564
2021-02-11 01:00:00,COINBASE:AAVEUSD,523.259,542.444,509.021,518.269,105834.07636
2021-02-12 01:00:00,COINBASE:AAVEUSD,518.0,546.319,500.501,528.914,117139.7384
2021-02-13 01:00:00,COINBASE:AAVEUSD,529.235,543.978,486.0,494.752,95752.1344
2021-02-14 01:00:00,COINBASE:AAVEUSD,495.187,509.75,461.147,468.708,75257.3184
2021-02-15 01:00:00,COINBASE:AAVEUSD,469.453,497.0,352.0,454.995,172898.2364
2021-02-16 01:00:00,COINBASE:AAVEUSD,455.314,478.958,422.855,433.114,73200.4934
2021-02-17 01:00:00,COINBASE:AAVEUSD,432.788,468.317,400.0,452.413,118969.9744
2021-02-18 01:00:00,COINBASE:AAVEUSD,452.455,480.0,435.501,441.853,77209.8004
2021-02-19 01:00:00,COINBASE:AAVEUSD,442.376,448.255,406.263,420.035,106768.01039
2021-02-20 01:00:00,COINBASE:AAVEUSD,420.0,499.997,407.2,442.274,194435.9934
2021-02-21 01:00:00,COINBASE:AAVEUSD,442.13,458.649,426.081,438.156,76426.32139
2021-02-22 01:00:00,COINBASE:AAVEUSD,438.192,449.21,358.5,399.733,173095.65738
2021-02-23 01:00:00,COINBASE:AAVEUSD,399.841,403.58,280.835,364.594,275777.8694
2021-02-24 01:00:00,COINBASE:AAVEUSD,364.403,406.49,340.339,368.425,138670.85339
2021-02-25 01:00:00,COINBASE:AAVEUSD,368.429,388.571,334.447,338.621,76234.47035
2021-02-26 01:00:00,COINBASE:AAVEUSD,338.354,353.405,304.2,323.727,100468.28338
2021-02-27 01:00:00,COINBASE:AAVEUSD,323.728,350.0,323.305,333.076,50247.53031
2021-02-28 01:00:00,COINBASE:AAVEUSD,333.524,366.208,301.1,355.03,84204.04032
2021-03-01 01:00:00,COINBASE:AAVEUSD,355.175,390.167,351.268,385.606,93081.4934
2021-03-02 01:00:00,COINBASE:AAVEUSD,385.606,417.731,375.0,391.153,94520.06538
2021-03-03 01:00:00,COINBASE:AAVEUSD,391.463,419.5,384.181,396.012,62983.20535
2021-03-04 01:00:00,COINBASE:AAVEUSD,395.4,410.536,365.993,374.509,58801.18727
2021-03-05 01:00:00,COINBASE:AAVEUSD,374.589,377.092,340.027,367.543,60179.3733
2021-03-06 01:00:00,COINBASE:AAVEUSD,367.91,391.957,351.776,388.911,31670.56987
2021-03-07 01:00:00,COINBASE:AAVEUSD,388.746,419.0,384.212,414.995,65653.21934
2021-03-08 01:00:00,COINBASE:AAVEUSD,415.62,437.357,392.21,437.357,77499.97312
2021-03-09 01:00:00,COINBASE:AAVEUSD,437.357,449.756,417.215,444.893,54505.07322
2021-03-10 01:00:00,COINBASE:AAVEUSD,444.8,459.0,400.0,406.341,69866.54416
2021-03-11 01:00:00,COINBASE:AAVEUSD,406.32,415.492,388.241,406.8,58787.15631
2021-03-12 01:00:00,COINBASE:AAVEUSD,406.251,408.34,360.0,374.527,60022.07134
2021-03-13 01:00:00,COINBASE:AAVEUSD,374.487,428.399,360.089,413.962,70372.69937
2021-03-14 01:00:00,COINBASE:AAVEUSD,413.964,418.493,377.105,380.362,46508.6904
2021-03-15 01:00:00,COINBASE:AAVEUSD,380.222,389.795,355.0,367.543,53608.11632
2021-03-16 01:00:00,COINBASE:AAVEUSD,367.909,377.395,350.104,370.579,50397.55212
