datetime,symbol,open,high,low,close,volume
2023-02-08 01:00:00,COINBASE:AAVEUSD,88.81,90.1,84.55,87.06,78683.249
2023-02-09 01:00:00,COINBASE:AAVEUSD,87.07,90.03,76.15,77.83,189651.404
2023-02-10 01:00:00,COINBASE:AAVEUSD,77.87,80.41,76.72,78.6,103360.582
2023-02-11 01:00:00,COINBASE:AAVEUSD,78.59,79.5,77.73,79.42,35299.494
2023-02-12 01:00:00,COINBASE:AAVEUSD,79.42,80.46,76.22,77.36,37992.411
2023-02-13 01:00:00,COINBASE:AAVEUSD,77.35,84.06,73.73,82.55,233961.469
2023-02-14 01:00:00,COINBASE:AAVEUSD,82.52,83.78,78.94,83.15,121054.867
2023-02-15 01:00:00,COINBASE:AAVEUSD,83.15,89.58,82.2,89.47,108947.527
2023-02-16 01:00:00,COINBASE:AAVEUSD,89.53,90.63,83.83,84.19,127097.767
2023-02-17 01:00:00,COINBASE:AAVEUSD,84.15,88.36,83.56,86.38,72637.866
2023-02-18 01:00:00,COINBASE:AAVEUSD,86.38,91.42,86.38,91.06,89060.827
2023-02-19 01:00:00,COINBASE:AAVEUSD,91.04,95.39,89.16,90.12,115930.68
2023-02-20 01:00:00,COINBASE:AAVEUSD,90.15,93.04,86.93,92.05,93850.071
2023-02-21 01:00:00,COINBASE:AAVEUSD,92.05,92.75,85.61,87.68,142156.151
2023-02-22 01:00:00,COINBASE:AAVEUSD,87.67,87.85,82.05,85.07,106526.793
2023-02-23 01:00:00,COINBASE:AAVEUSD,85.08,87.59,83.77,85.65,71781.986
2023-02-24 01:00:00,COINBASE:AAVEUSD,85.66,86.77,79.93,81.53,77184.741
2023-02-25 01:00:00,COINBASE:AAVEUSD,81.56,83.65,77.34,80.01,78236.882
2023-02-26 01:00:00,COINBASE:AAVEUSD,80.01,82.46,79.68,82.24,31742.661
2023-02-27 01:00:00,COINBASE:AAVEUSD,82.22,83.55,79.5,80.1,67888.971
2023-02-28 01:00:00,COINBASE:AAVEUSD,80.1,80.15,76.73,77.67,63483.898
2023-03-01 01:00:00,COINBASE:AAVEUSD,77.69,83.17,76.96,82.97,96015.703
2023-03-02 01:00:00,COINBASE:AAVEUSD,82.87,83.13,78.36,79.91,72573.787
2023-03-03 01:00:00,COINBASE:AAVEUSD,79.91,79.91,73.05,76.85,60113.452
2023-03-04 01:00:00,COINBASE:AAVEUSD,76.86,77.51,74.7,75.3,20073.242
2023-03-05 01:00:00,COINBASE:AAVEUSD,75.32,77.16,74.68,75.04,42423.888
2023-03-06 01:00:00,COINBASE:AAVEUSD,75.03,77.47,74.24,76.68,48382.431
2023-03-07 01:00:00,COINBASE:AAVEUSD,76.71,77.75,73.64,75.22,48035.144
2023-03-08 01:00:00,COINBASE:AAVEUSD,75.24,75.47,71.08,71.68,43404.922
2023-03-09 01:00:00,COINBASE:AAVEUSD,71.62,73.99,66.99,68.72,58193.574
2023-03-10 01:00:00,COINBASE:AAVEUSD,68.7,68.86,64.72,68.57,47186.333
2023-03-11 01:00:00,COINBASE:AAVEUSD,68.5,71.9,64.42,67.37,46614.334
2023-03-12 01:00:00,COINBASE:AAVEUSD,67.35,73.42,66.48,73.28,34686.432
2023-03-13 01:00:00,COINBASE:AAVEUSD,73.35,77.47,70.87,76.34,50424.769
2023-03-14 01:00:00,COINBASE:AAVEUSD,76.36,81.79,74.67,79.32,76437.679
2023-03-15 01:00:00,COINBASE:AAVEUSD,79.33,80.95,71.77,74.16,50879.582
2023-03-16 01:00:00,COINBASE:AAVEUSD,74.17,75.78,73.37,74.95,33278.18
2023-03-17 01:00:00,COINBASE:AAVEUSD,74.96,80.84,73.86,80.75,42301.651
2023-03-18 01:00:00,COINBASE:AAVEUSD,80.78,82.25,77.53,78.04,40502.418
2023-03-19 01:00:00,COINBASE:AAVEUSD,78.0,82.0,77.72,79.67,20742.312
2023-03-20 01:00:00,COINBASE:AAVEUSD,79.68,80.27,75.95,76.2,48182.083
2023-03-21 01:00:00,COINBASE:AAVEUSD,76.2,79.73,74.52,79.17,32560.664
2023-03-22 01:00:00,COINBASE:AAVEUSD,79.18,79.48,72.9,75.3,50548.752
2023-03-23 01:00:00,COINBASE:AAVEUSD,75.28,80.7,74.57,77.2,60064.062
2023-03-24 01:00:00,COINBASE:AAVEUSD,77.2,77.44,72.24,73.11,49346.413
2023-03-25 01:00:00,COINBASE:AAVEUSD,73.11,73.59,70.21,71.43,31750.477
2023-03-26 01:00:00,COINBASE:AAVEUSD,71.4,73.47,70.97,72.93,30696.652
2023-03-27 02:00:00,COINBASE:AAVEUSD,72.93,73.75,68.18,69.78,47485.383
2023-03-28 02:00:00,COINBASE:AAVEUSD,69.82,71.65,68.77,70.64,30280.036
2023-03-29 02:00:00,COINBASE:AAVEUSD,70.69,73.49,70.56,72.85,21693.104
2023-03-30 02:00:00,COINBASE:AAVEUSD,72.86,74.31,70.18,71.32,24495.522
2023-03-31 02:00:00,COINBASE:AAVEUSD,71.32,74.49,70.78,74.21,72995.691
2023-04-01 02:00:00,COINBASE:AAVEUSD,74.18,74.86,73.51,74.19,18828.914
2023-04-02 02:00:00,COINBASE:AAVEUSD,74.14,74.81,71.68,73.0,16295.53
2023-04-03 02:00:00,COINBASE:AAVEUSD,73.01,75.05,70.86,73.78,47977.722
2023-04-04 02:00:00,COINBASE:AAVEUSD,73.81,76.98,73.02,76.48,41811.525
2023-04-05 02:00:00,COINBASE:AAVEUSD,76.47,79.46,75.95,78.29,50280.347
2023-04-06 02:00:00,COINBASE:AAVEUSD,78.31,81.46,77.5,80.6,43931.946
2023-04-07 02:00:00,COINBASE:AAVEUSD,80.6,81.1,77.48,78.3,59804.886
2023-04-08 02:00:00,COINBASE:AAVEUSD,78.28,79.11,75.92,76.31,34748.238
2023-04-09 02:00:00,COINBASE:AAVEUSD,76.34,77.56,74.8,76.28,21459.586
2023-04-10 02:00:00,COINBASE:AAVEUSD,76.28,78.69,75.13,78.55,18855.153
2023-04-11 02:00:00,COINBASE:AAVEUSD,78.57,80.66,78.09,79.12,35336.256
2023-04-12 02:00:00,COINBASE:AAVEUSD,79.15,79.71,75.56,79.03,37569.784
2023-04-13 02:00:00,COINBASE:AAVEUSD,79.04,81.81,76.82,81.32,59940.091
2023-04-14 02:00:00,COINBASE:AAVEUSD,81.32,83.95,80.19,82.65,48588.374
2023-04-15 02:00:00,COINBASE:AAVEUSD,82.66,84.33,81.09,82.55,33952.293
2023-04-16 02:00:00,COINBASE:AAVEUSD,82.52,83.76,80.81,83.38,33116.117
2023-04-17 02:00:00,COINBASE:AAVEUSD,83.38,84.44,80.23,81.06,50860.262
2023-04-18 02:00:00,COINBASE:AAVEUSD,81.07,84.32,79.51,81.97,49154.239
2023-04-19 02:00:00,COINBASE:AAVEUSD,82.01,82.11,72.3,73.98,86905.694
2023-04-20 02:00:00,COINBASE:AAVEUSD,73.94,75.34,71.58,72.33,64690.412
2023-04-21 02:00:00,COINBASE:AAVEUSD,72.34,73.35,68.07,69.07,47024.438
2023-04-22 02:00:00,COINBASE:AAVEUSD,69.09,70.96,68.64,70.83,12905.098
2023-04-23 02:00:00,COINBASE:AAVEUSD,70.82,71.02,68.39,70.34,10040.046
2023-04-24 02:00:00,COINBASE:AAVEUSD,70.32,71.49,68.12,69.85,12121.958
2023-04-25 02:00:00,COINBASE:AAVEUSD,69.86,71.36,68.35,71.23,13125.491
2023-04-26 02:00:00,COINBASE:AAVEUSD,71.18,76.74,65.94,69.43,50519.229
2023-04-27 02:00:00,COINBASE:AAVEUSD,69.35,72.1,68.79,71.44,19756.447
2023-04-28 02:00:00,COINBASE:AAVEUSD,71.44,72.33,70.1,72.21,13126.387
2023-04-29 02:00:00,COINBASE:AAVEUSD,72.23,72.76,71.36,71.86,11136.953
2023-04-30 02:00:00,COINBASE:AAVEUSD,71.81,72.58,70.21,70.26,13088.75
2023-05-01 02:00:00,COINBASE:AAVEUSD,70.33,70.79,67.63,68.97,15634.107
2023-05-02 02:00:00,COINBASE:AAVEUSD,68.91,69.61,68.0,69.16,9494.537
2023-05-03 02:00:00,COINBASE:AAVEUSD,69.18,71.86,67.58,71.75,17982.312
2023-05-04 02:00:00,COINBASE:AAVEUSD,71.74,72.04,70.31,70.87,11253.924
2023-05-05 02:00:00,COINBASE:AAVEUSD,70.9,76.16,70.18,73.55,47514.193
2023-05-06 02:00:00,COINBASE:AAVEUSD,73.56,74.18,68.62,69.88,28228.335
2023-05-07 02:00:00,COINBASE:AAVEUSD,69.88,70.31,68.35,68.78,9944.133
2023-05-08 02:00:00,COINBASE:AAVEUSD,68.75,69.26,62.58,64.59,30097.797
2023-05-09 02:00:00,COINBASE:AAVEUSD,64.57,64.9,63.69,64.5,19210.136
2023-05-10 02:00:00,COINBASE:AAVEUSD,64.48,65.89,61.41,64.68,30663.619
2023-05-11 02:00:00,COINBASE:AAVEUSD,64.73,64.79,60.91,62.29,21166.099
2023-05-12 02:00:00,COINBASE:AAVEUSD,62.31,63.31,60.24,63.22,16570.438
2023-05-13 02:00:00,COINBASE:AAVEUSD,63.22,63.22,61.91,62.19,4020.28
2023-05-14 02:00:00,COINBASE:AAVEUSD,62.17,63.42,61.6,62.26,8684.058
2023-05-15 02:00:00,COINBASE:AAVEUSD,62.3,64.56,61.42,62.83,19743.28
2023-05-16 02:00:00,COINBASE:AAVEUSD,62.79,64.85,61.93,62.86,18699.83
2023-05-17 02:00:00,COINBASE:AAVEUSD,62.9,65.0,61.74,64.98,15614.853
2023-05-18 02:00:00,COINBASE:AAVEUSD,64.97,67.36,64.58,64.95,44516.559
2023-05-19 02:00:00,COINBASE:AAVEUSD,64.98,65.69,63.96,65.37,11896.546
2023-05-20 02:00:00,COINBASE:AAVEUSD,65.38,65.52,64.59,65.29,13265.479
2023-05-21 02:00:00,COINBASE:AAVEUSD,65.25,65.5,63.46,63.95,11248.884
2023-05-22 02:00:00,COINBASE:AAVEUSD,63.94,64.8,62.94,64.27,6845.271
2023-05-23 02:00:00,COINBASE:AAVEUSD,64.33,66.26,64.09,65.43,9345.018
2023-05-24 02:00:00,COINBASE:AAVEUSD,65.46,65.49,62.26,63.98,14539.056
2023-05-25 02:00:00,COINBASE:AAVEUSD,63.96,64.22,62.31,63.5,13311.203
2023-05-26 02:00:00,COINBASE:AAVEUSD,63.49,65.71,62.84,64.64,13111.111
2023-05-27 02:00:00,COINBASE:AAVEUSD,64.5,65.77,64.43,65.74,8310.772
