datetime,symbol,open,high,low,close,volume
2024-02-08 01:00:00,COINBASE:AAVEUSD,84.24,86.72,84.07,85.21,39126.69
2024-02-09 01:00:00,COINBASE:AAVEUSD,85.21,89.97,85.21,87.76,52267.699
2024-02-10 01:00:00,COINBASE:AAVEUSD,87.79,89.28,86.18,88.38,27522.858
2024-02-11 01:00:00,COINBASE:AAVEUSD,88.34,89.91,86.7,87.33,24751.24
2024-02-12 01:00:00,COINBASE:AAVEUSD,87.32,91.02,85.07,90.93,28720.757
2024-02-13 01:00:00,COINBASE:AAVEUSD,90.97,91.42,88.0,89.59,30001.503
2024-02-14 01:00:00,COINBASE:AAVEUSD,89.54,92.74,88.72,91.21,39090.047
2024-02-15 01:00:00,COINBASE:AAVEUSD,91.21,93.6,90.11,92.38,53136.136
2024-02-16 01:00:00,COINBASE:AAVEUSD,92.4,95.0,90.36,94.62,58756.056
2024-02-17 01:00:00,COINBASE:AAVEUSD,94.63,95.3,91.1,93.99,32146.964
2024-02-18 01:00:00,COINBASE:AAVEUSD,93.99,95.47,92.64,94.62,43110.221
2024-02-19 01:00:00,COINBASE:AAVEUSD,94.69,98.0,94.25,96.22,45554.736
2024-02-20 01:00:00,COINBASE:AAVEUSD,96.26,97.12,89.98,93.94,43003.317
2024-02-21 01:00:00,COINBASE:AAVEUSD,93.96,94.25,87.52,91.72,65814.83
2024-02-22 01:00:00,COINBASE:AAVEUSD,91.52,93.89,90.08,91.8,25065.681
2024-02-23 01:00:00,COINBASE:AAVEUSD,92.1,101.74,89.45,94.53,110672.091
2024-02-24 01:00:00,COINBASE:AAVEUSD,94.49,104.0,93.77,101.2,121546.013
2024-02-25 01:00:00,COINBASE:AAVEUSD,101.28,101.75,97.51,100.33,33875.522
2024-02-26 01:00:00,COINBASE:AAVEUSD,100.31,103.93,97.89,102.94,72261.71
2024-02-27 01:00:00,COINBASE:AAVEUSD,102.92,105.82,101.05,104.92,62845.937
2024-02-28 01:00:00,COINBASE:AAVEUSD,104.88,108.73,97.87,104.48,74523.758
